"year","lat.lon","lo","tempadj","gdd","site"
1960,"49.3333 10.8",110,6.44147526585787,392.92999121733,7
1960,"49.4 11.4",107,6.02393429158408,367.459991786629,8
1960,"49.45 10.3167",109,6.30377035090303,384.529991405085,9
1960,"49.4667 9.58333",111,6.7832785369065,413.779990751296,10
1960,"49.7167 10.2167",100,7.04377033436274,429.669990396127,11
1960,"49.95 11.1667",113,5.83016380411191,355.639992050827,12
1960,"50 8.71667",99,8.25049161886583,503.279988750815,13
1960,"50.3 10.4667",120,6.46508182270727,394.369991185144,14
1960,"50.4167 10.3833",101,6.46508182270727,394.369991185144,15
1960,"50.5167 8.81667",97,6.70524575176542,409.019990857691,16
1960,"52.4 9.45",108,6.243442483399,380.849991487339,17
1961,"48.4333 10.4167",118,8.0914752289775,493.579988967627,1
1961,"48.5833 12.1833",92,8.33934407589621,508.699988629669,2
1961,"48.7167 9.21667",88,8.60426210276172,524.859988268465,3
1961,"48.8333 12.9667",100,7.52065556960516,458.759989745915,4
1961,"48.8833 12.6",95,8.85426209717378,540.109987927601,5
1961,"49.1667 11.45",98,8.22131129164921,501.499988790602,6
1961,"49.3333 10.8",100,8.53163915356529,520.429988367483,7
1961,"49.4 11.4",99,8.42540964774298,513.949988512322,8
1961,"49.45 10.3167",100,8.3408194856993,508.789988627657,9
1961,"49.4667 9.58333",100,8.6303276759496,526.449988232925,10
1961,"49.7167 10.2167",96,9.15147520528465,558.239987522364,11
1961,"49.95 11.1667",97,8.02245883707751,489.369989061728,12
1961,"50 8.71667",95,9.50426208264515,579.759987041354,13
1961,"50.3 10.4667",106,8.54967194004747,521.529988342896,14
1961,"50.4167 10.3833",97,8.54967194004747,521.529988342896,15
1961,"50.5167 8.81667",94,8.51032767863181,519.12998839654,16
1961,"52.4 9.45",97,8.4952457117558,518.209988417104,17
1962,"48.4333 10.4167",122,4.89918021836364,298.849993320182,1
1962,"48.5833 12.1833",112,4.98393431482989,304.019993204623,2
1962,"48.7167 9.21667",112,5.18278676940159,316.149992933497,3
1962,"48.8333 12.9667",113,4.50426219440386,274.759993858635,4
1962,"48.8833 12.6",114,5.37295069957732,327.749992674217,5
1962,"49.1667 11.45",114,4.72114743545774,287.989993562922,6
1962,"49.3333 10.8",118,5.07524578819876,309.589993080124,7
1962,"49.4 11.4",115,4.83377038376009,294.859993409365,8
1962,"49.45 10.3167",115,4.84475399007196,295.52999339439,9
1962,"49.4667 9.58333",118,5.21754086698543,318.269992886111,10
1962,"49.7167 10.2167",108,5.40491791197755,329.699992630631,11
1962,"49.95 11.1667",118,4.74196710712352,289.259993534535,12
1962,"50 8.71667",114,5.96688511253136,363.979991864413,13
1962,"50.3 10.4667",130,4.8445900556494,295.519993394613,14
1962,"50.4167 10.3833",114,4.8445900556494,295.519993394613,15
1962,"50.5167 8.81667",113,4.73754087771426,288.98999354057,16
1962,"52.4 9.45",115,4.94163923380805,301.439993262291,17
1963,"48.4333 10.4167",120,5.79622937864089,353.569992097095,1
1963,"48.5833 12.1833",112,5.63770479202026,343.899992313236,2
1963,"48.7167 9.21667",110,6.59672116402719,402.399991005659,3
